container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
390,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634093203,"['/ad-library/detail/634093203', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093203', '/ad-library/detail/634093203']",Nike,True,last-30-days
391,Rural small businesses are poised for growth,Promoted,No image found,[],Active,/ad-library/detail/634093203,"['/ad-library/detail/634093203', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_image', '/ad-library/detail/634093203?trk=ad_library_ad_preview_carousel_item_title', '/ad-library/detail/634093203', '/ad-library/detail/634093203']",Nike,True,last-30-days
392,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
393,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590451193,"['/ad-library/detail/590451193', '/ad-library/detail/590451193', '/ad-library/detail/590451193']",Nike,True,last-30-days
394,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590451193,"['/ad-library/detail/590451193', '/ad-library/detail/590451193', '/ad-library/detail/590451193']",Nike,True,last-30-days
395,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
396,Oferty pracy inżynierskiej w Goldman Sachs,Oferty pracy inżynierskiej w Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
397,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590480943?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590480943?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590480943', '/ad-library/detail/590480943']",Nike,True,last-30-days
398,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590480943?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590480943?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590480943', '/ad-library/detail/590480943']",Nike,True,last-30-days
399,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
400,Oferty pracy inżynierskiej w Goldman Sachs,Oferty pracy inżynierskiej w Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
401,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633626223,"['/ad-library/detail/633626223', '/ad-library/detail/633626223', '/ad-library/detail/633626223']",Nike,True,last-30-days
402,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633626223,"['/ad-library/detail/633626223', '/ad-library/detail/633626223', '/ad-library/detail/633626223']",Nike,True,last-30-days
403,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
404,Support Rural Small Businesses,Support Rural Small Businesses,No image found,[],Active,No link found,[],Nike,,last-30-days
405,Engineering roles at Goldman Sachs in Bengaluru,Promoted,No image found,[],Active,/ad-library/detail/638984383,"['/ad-library/detail/638984383', '/ad-library/detail/638984383', '/ad-library/detail/638984383']",Nike,True,last-30-days
406,Engineering roles at Goldman Sachs in Bengaluru,Promoted,No image found,[],Active,/ad-library/detail/638984383,"['/ad-library/detail/638984383', '/ad-library/detail/638984383', '/ad-library/detail/638984383']",Nike,True,last-30-days
407,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
408,Engineering roles at Goldman Sachs in Bengaluru,Engineering roles at Goldman Sachs in Bengaluru,No image found,[],Active,No link found,[],Nike,,last-30-days
409,Engineering roles at Goldman Sachs in Hyderabad,Promoted,No image found,[],Active,/ad-library/detail/638961193,"['/ad-library/detail/638961193', '/ad-library/detail/638961193', '/ad-library/detail/638961193']",Nike,True,last-30-days
410,Engineering roles at Goldman Sachs in Hyderabad,Promoted,No image found,[],Active,/ad-library/detail/638961193,"['/ad-library/detail/638961193', '/ad-library/detail/638961193', '/ad-library/detail/638961193']",Nike,True,last-30-days
411,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
412,Engineering roles at Goldman Sachs in Hyderabad,Engineering roles at Goldman Sachs in Hyderabad,No image found,[],Active,No link found,[],Nike,,last-30-days
413,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633664323,"['/ad-library/detail/633664323', '/ad-library/detail/633664323', '/ad-library/detail/633664323']",Nike,True,last-30-days
414,Support Rural Small Businesses,Promoted,No image found,[],Active,/ad-library/detail/633664323,"['/ad-library/detail/633664323', '/ad-library/detail/633664323', '/ad-library/detail/633664323']",Nike,True,last-30-days
415,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
416,Support Rural Small Businesses,Support Rural Small Businesses,No image found,[],Active,No link found,[],Nike,,last-30-days
417,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590431703?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590431703?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590431703', '/ad-library/detail/590431703']",Nike,True,last-30-days
418,Oferty pracy inżynierskiej w Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590431703?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590431703?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590431703', '/ad-library/detail/590431703']",Nike,True,last-30-days
419,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
420,Oferty pracy inżynierskiej w Goldman Sachs,Oferty pracy inżynierskiej w Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
421,Engineering careers at Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590422253?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590422253?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590422253', '/ad-library/detail/590422253']",Nike,True,last-30-days
422,Engineering careers at Goldman Sachs,Promoted,No image found,[],Active,/ad-library/detail/590422253?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/590422253?trk=ad_library_ad_preview_content_image', '/ad-library/detail/590422253', '/ad-library/detail/590422253']",Nike,True,last-30-days
423,No title found,Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
424,Engineering careers at Goldman Sachs,Engineering careers at Goldman Sachs,No image found,[],Active,No link found,[],Nike,,last-30-days
425,Support Rural Small Businesses,Promoted,https://media.licdn.com/dms/image/v2/D4D10AQHzSWC-3qka1A/videocover-high/B4DZVwc.hsGcCM-/0/1741348414288/GOLDMAN_1x1mp4?e=1746878400&v=beta&t=0Uo1BekUYScvhRAewtZ9zZCf6EJDGo2iU6b8QBV-xic,['https://media.licdn.com/dms/image/v2/D4D10AQHzSWC-3qka1A/videocover-high/B4DZVwc.hsGcCM-/0/1741348414288/GOLDMAN_1x1mp4?e=1746878400&v=beta&t=0Uo1BekUYScvhRAewtZ9zZCf6EJDGo2iU6b8QBV-xic'],Active,/ad-library/detail/633664343,"['/ad-library/detail/633664343', '/ad-library/detail/633664343', '/ad-library/detail/633664343']",Nike,True,last-30-days
426,Support Rural Small Businesses,Promoted,https://media.licdn.com/dms/image/v2/D4D10AQHzSWC-3qka1A/videocover-high/B4DZVwc.hsGcCM-/0/1741348414288/GOLDMAN_1x1mp4?e=1746878400&v=beta&t=0Uo1BekUYScvhRAewtZ9zZCf6EJDGo2iU6b8QBV-xic,['https://media.licdn.com/dms/image/v2/D4D10AQHzSWC-3qka1A/videocover-high/B4DZVwc.hsGcCM-/0/1741348414288/GOLDMAN_1x1mp4?e=1746878400&v=beta&t=0Uo1BekUYScvhRAewtZ9zZCf6EJDGo2iU6b8QBV-xic'],Active,/ad-library/detail/633664343,"['/ad-library/detail/633664343', '/ad-library/detail/633664343', '/ad-library/detail/633664343']",Nike,True,last-30-days
