container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
861,L'IA révolutionne les pratiques RH,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D4E10AQE2oKIGg4Pmjg/image-shrink_1280/B4EZaMgOYJGQAM-/0/1746113983529/PersonaWebinars-HR1080x1080_1png?e=2147483647&v=beta&t=gg22yawRkjjaLIIiTtg6I2YEZw3WRYWUqIrraMMBBZU']",Active,/ad-library/detail/667347174?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667347174?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667347174', '/ad-library/detail/667347174']",Apple,True,last-30-days
862,L'IA révolutionne les pratiques RH,Promoted,https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY,"['https://media.licdn.com/dms/image/v2/D560BAQH32RJQCl3dDQ/company-logo_100_100/B56ZYQ0mrGGoAU-/0/1744038948046/microsoft_logo?e=2147483647&v=beta&t=rr_7_bFRKp6umQxIHErPOZHtR8dMPIYeTjlKFdotJBY', 'https://media.licdn.com/dms/image/v2/D4E10AQE2oKIGg4Pmjg/image-shrink_1280/B4EZaMgOYJGQAM-/0/1746113983529/PersonaWebinars-HR1080x1080_1png?e=2147483647&v=beta&t=gg22yawRkjjaLIIiTtg6I2YEZw3WRYWUqIrraMMBBZU']",Active,/ad-library/detail/667347174?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/667347174?trk=ad_library_ad_preview_content_image', '/ad-library/detail/667347174', '/ad-library/detail/667347174']",Apple,True,last-30-days
863,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
864,L'IA révolutionne les pratiques RH,L'IA révolutionne les pratiques RH,No image found,[],Active,No link found,[],Apple,,last-30-days
865,Master identity and access management with Microsoft Entra,Promoted,No image found,[],Active,/ad-library/detail/687204706?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687204706?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687204706', '/ad-library/detail/687204706']",Apple,True,last-30-days
866,Master identity and access management with Microsoft Entra,Promoted,No image found,[],Active,/ad-library/detail/687204706?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687204706?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687204706', '/ad-library/detail/687204706']",Apple,True,last-30-days
867,No title found,Microsoft,No image found,[],Active,No link found,[],Apple,,last-30-days
868,Master identity and access management with Microsoft Entra,Watch our free on-demand webinar to master identity and access management with Microsoft Entra,No image found,[],Active,No link found,[],Apple,,last-30-days
869,Watch our free on-demand webinar to master identity and access management with Microsoft Entra,Watch our free on-demand webinar to master identity and access management with Microsoft Entra,No image found,[],Active,No link found,[],Apple,,last-30-days
870,Learn how the Royal Navy transformed its procurement processes.,Promoted,No image found,[],Active,/ad-library/detail/687230856?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/687230856?trk=ad_library_ad_preview_content_image', '/ad-library/detail/687230856', '/ad-library/detail/687230856']",Apple,True,last-30-days
