container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
527,Shop all iPhone 16 models.,Promoted,No image found,[],Active,/ad-library/detail/668351636,"['/ad-library/detail/668351636', '/ad-library/detail/668351636', '/ad-library/detail/668351636']",Apple,True,all-time
528,Shop all iPhone 16 models.,Promoted,No image found,[],Active,/ad-library/detail/668351636,"['/ad-library/detail/668351636', '/ad-library/detail/668351636', '/ad-library/detail/668351636']",Apple,True,all-time
529,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
530,Shop all iPhone 16 models.,Shop all iPhone 16 models.,No image found,[],Active,No link found,[],Apple,,all-time
531,Upgrade to iPhone.,Promoted,No image found,[],Active,/ad-library/detail/666329956,"['/ad-library/detail/666329956', '/ad-library/detail/666329956', '/ad-library/detail/666329956']",Apple,True,all-time
532,Upgrade to iPhone.,Promoted,No image found,[],Active,/ad-library/detail/666329956,"['/ad-library/detail/666329956', '/ad-library/detail/666329956', '/ad-library/detail/666329956']",Apple,True,all-time
533,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
534,Upgrade to iPhone.,Upgrade to iPhone.,No image found,[],Active,No link found,[],Apple,,all-time
535,Trade in and save.,Promoted,No image found,[],Active,/ad-library/detail/640476904?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640476904?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640476904', '/ad-library/detail/640476904']",Apple,True,all-time
536,Trade in and save.,Promoted,No image found,[],Active,/ad-library/detail/640476904?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640476904?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640476904', '/ad-library/detail/640476904']",Apple,True,all-time
537,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
538,Trade in and save.,Trade in and save.,No image found,[],Active,No link found,[],Apple,,all-time
539,Trade in and save.,Promoted,No image found,[],Active,/ad-library/detail/640468034?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640468034?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640468034', '/ad-library/detail/640468034']",Apple,True,all-time
540,Trade in and save.,Promoted,No image found,[],Active,/ad-library/detail/640468034?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/640468034?trk=ad_library_ad_preview_content_image', '/ad-library/detail/640468034', '/ad-library/detail/640468034']",Apple,True,all-time
541,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
542,Trade in and save.,Trade in and save.,No image found,[],Active,No link found,[],Apple,,all-time
543,"Save on a new iPhone 16 Pro, iPhone 16 or iPhone 16e by trading in your current iPhone.",Promoted,No image found,[],Active,/ad-library/detail/668352116,"['/ad-library/detail/668352116', '/ad-library/detail/668352116', '/ad-library/detail/668352116']",Apple,True,all-time
544,"Save on a new iPhone 16 Pro, iPhone 16 or iPhone 16e by trading in your current iPhone.",Promoted,No image found,[],Active,/ad-library/detail/668352116,"['/ad-library/detail/668352116', '/ad-library/detail/668352116', '/ad-library/detail/668352116']",Apple,True,all-time
545,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
546,"Save on a new iPhone 16 Pro, iPhone 16 or iPhone 16e by trading in your current iPhone.","Save on a new iPhone 16 Pro, iPhone 16 or iPhone 16e by trading in your current iPhone.",No image found,[],Active,No link found,[],Apple,,all-time
547,Upgrade to iPhone.,Promoted,No image found,[],Active,/ad-library/detail/670676056,"['/ad-library/detail/670676056', '/ad-library/detail/670676056', '/ad-library/detail/670676056']",Apple,True,all-time
548,Upgrade to iPhone.,Promoted,No image found,[],Active,/ad-library/detail/670676056,"['/ad-library/detail/670676056', '/ad-library/detail/670676056', '/ad-library/detail/670676056']",Apple,True,all-time
549,No title found,Apple,No image found,[],Active,No link found,[],Apple,,all-time
